ID,Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load
1,0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55
2,0.98,514.5,294.0,110.25,7.0,3,0.0,0,15.55
3,0.98,514.5,294.0,110.25,7.0,4,0.0,0,15.55
4,0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55
5,0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84
6,0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46
7,0.9,563.5,318.5,122.5,7.0,4,0.0,0,20.71
8,0.9,563.5,318.5,122.5,7.0,5,0.0,0,19.68
9,0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5
10,0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95
11,0.86,588.0,294.0,147.0,7.0,4,0.0,0,19.34
12,0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31
13,0.82,612.5,318.5,147.0,7.0,2,0.0,0,17.05
14,0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41
15,0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95
16,0.82,612.5,318.5,147.0,7.0,5,0.0,0,15.98
17,0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52
18,0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9
19,0.79,637.0,343.0,147.0,7.0,4,0.0,0,29.63
20,0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75
21,0.76,661.5,416.5,122.5,7.0,2,0.0,0,24.77
22,0.76,661.5,416.5,122.5,7.0,3,0.0,0,23.93
23,0.76,661.5,416.5,122.5,7.0,4,0.0,0,24.77
24,0.76,661.5,416.5,122.5,7.0,5,0.0,0,23.93
25,0.74,686.0,245.0,220.5,3.5,2,0.0,0,6.07
26,0.74,686.0,245.0,220.5,3.5,3,0.0,0,6.05
27,0.74,686.0,245.0,220.5,3.5,4,0.0,0,6.01
28,0.74,686.0,245.0,220.5,3.5,5,0.0,0,6.04
29,0.71,710.5,269.5,220.5,3.5,2,0.0,0,6.37
30,0.71,710.5,269.5,220.5,3.5,3,0.0,0,6.4
31,0.71,710.5,269.5,220.5,3.5,4,0.0,0,6.366
32,0.71,710.5,269.5,220.5,3.5,5,0.0,0,6.4
33,0.69,735.0,294.0,220.5,3.5,2,0.0,0,6.85
34,0.69,735.0,294.0,220.5,3.5,3,0.0,0,6.79
35,0.69,735.0,294.0,220.5,3.5,4,0.0,0,6.77
36,0.69,735.0,294.0,220.5,3.5,5,0.0,0,6.81
37,0.66,759.5,318.5,220.5,3.5,2,0.0,0,7.18
38,0.66,759.5,318.5,220.5,3.5,3,0.0,0,7.1
39,0.66,759.5,318.5,220.5,3.5,4,0.0,0,7.1
40,0.66,759.5,318.5,220.5,3.5,5,0.0,0,7.1
41,0.64,784.0,343.0,220.5,3.5,2,0.0,0,10.85
42,0.64,784.0,343.0,220.5,3.5,3,0.0,0,10.54
43,0.64,784.0,343.0,220.5,3.5,4,0.0,0,10.77
44,0.64,784.0,343.0,220.5,3.5,5,0.0,0,10.56
45,0.62,808.5,367.5,220.5,3.5,2,0.0,0,8.6
46,0.62,808.5,367.5,220.5,3.5,3,0.0,0,8.49
47,0.62,808.5,367.5,220.5,3.5,4,0.0,0,8.45
48,0.62,808.5,367.5,220.5,3.5,5,0.0,0,8.5
49,0.98,514.5,294.0,110.25,7.0,2,0.1,1,24.58
50,0.98,514.5,294.0,110.25,7.0,3,0.1,1,24.63
